overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,years_at_club,contract_years_remaining,is_loaned,nationality_freq,league_freq,preferred_foot_Right,position_group_DEF,position_group_MID
87,87,77000000,165000,30,179,69,1.0,4,4,4,67.0,83.0,89.0,83.0,65.0,75.0,85,80,63,90,87,82,85,85,90,87,68,66,78,90,73,86,69,95,61,85,84,63,86,92,91,85,62,71,66,5.641095890410959,2.0,0,315,537,True,False,True
87,90,107000000,125000,25,170,71,1.0,4,4,4,85.0,87.0,81.0,87.0,57.0,79.0,77,88,78,83,84,87,87,80,78,88,86,85,87,88,87,88,86,85,72,86,86,52,88,83,78,86,60,55,46,1.104109589041096,5.0,0,954,488,True,False,False
86,87,73000000,250000,26,180,69,1.0,4,3,4,76.0,72.0,89.0,80.0,80.0,74.0,93,64,69,87,71,79,91,85,91,85,72,79,73,85,72,85,75,89,68,76,70,84,79,88,66,82,78,82,79,0.3013698630136986,6.0,0,1329,488,True,True,False
84,88,58500000,66000,25,188,77,1.0,4,4,3,76.0,83.0,80.0,85.0,70.0,82.0,75,85,82,84,79,85,82,63,80,85,74,77,84,84,79,83,88,86,80,81,80,71,85,84,77,85,67,70,60,8.224657534246575,7.0,0,930,488,True,False,True
83,83,35000000,71000,30,191,80,1.0,3,3,3,81.0,79.0,81.0,80.0,77.0,84.0,78,79,83,85,76,81,73,59,80,84,75,86,69,84,69,83,90,94,82,77,77,78,88,84,69,85,72,79,74,0.049315068493150684,3.0,0,833,607,False,False,True
84,84,34500000,100000,31,180,70,1.0,3,4,3,75.0,78.0,83.0,83.0,76.0,83.0,78,75,58,85,71,84,84,76,84,85,74,76,77,81,78,82,76,88,79,83,86,80,79,85,66,81,76,80,75,1.210958904109589,1.0,1,954,714,True,False,True
86,88,76500000,175000,25,181,79,1.0,4,3,3,79.0,74.0,82.0,80.0,81.0,83.0,78,69,70,86,68,78,75,81,83,85,78,79,76,84,77,85,83,83,82,77,84,84,76,79,64,84,81,84,81,2.2164383561643834,3.0,0,558,537,True,False,True
84,84,36500000,95000,30,184,74,1.0,4,3,3,89.0,79.0,78.0,81.0,78.0,82.0,76,80,67,81,66,81,78,63,80,82,87,91,83,81,74,84,84,92,77,79,80,80,79,79,65,79,77,82,74,6.2246575342465755,2.0,0,930,488,True,True,False
82,82,29000000,78000,30,189,82,1.0,4,3,3,77.0,78.0,80.0,80.0,80.0,82.0,74,76,84,85,74,80,76,70,84,82,72,81,74,85,71,83,84,69,87,82,83,85,84,79,60,82,75,83,75,7.2246575342465755,1.0,0,996,762,True,False,True
89,91,128500000,170000,25,172,64,1.0,3,4,4,72.0,80.0,86.0,90.0,75.0,70.0,78,80,52,90,62,91,81,69,89,88,75,69,91,88,89,77,66,87,59,84,77,85,81,90,88,88,74,79,69,3.2246575342465755,4.0,0,315,431,True,False,True
91,91,82000000,370000,33,175,72,1.0,3,4,5,89.0,88.0,86.0,90.0,45.0,76.0,86,94,59,88,83,90,88,69,81,90,88,89,86,94,91,83,79,88,75,78,63,55,93,89,88,93,38,43,41,8.224657534246575,2.0,0,10,537,False,False,True
80,80,15000000,52000,31,178,76,1.0,4,3,3,74.0,80.0,80.0,80.0,76.0,76.0,77,76,62,82,83,78,77,78,80,82,76,72,77,83,78,87,71,78,75,83,79,80,78,79,80,83,79,75,77,2.158904109589041,2.0,0,230,762,True,False,True
87,88,83500000,210000,26,185,80,1.0,3,3,4,72.0,73.0,84.0,80.0,83.0,83.0,88,64,72,86,50,82,86,75,86,84,71,73,63,85,65,87,80,92,78,83,85,86,77,79,71,86,81,86,85,2.1835616438356165,3.0,0,1329,537,True,False,True
84,84,30500000,68000,31,182,74,1.0,4,4,3,83.0,73.0,84.0,84.0,78.0,74.0,86,69,72,86,62,85,87,69,79,86,88,78,79,84,78,80,82,88,65,79,76,79,81,85,52,85,75,81,77,1.063013698630137,2.0,0,315,888,True,True,False
87,87,79500000,170000,28,181,74,1.0,3,4,4,82.0,71.0,85.0,87.0,78.0,77.0,78,75,72,90,70,86,84,64,87,88,80,83,87,87,79,68,82,87,73,69,74,82,78,88,53,90,76,78,77,6.2246575342465755,1.0,0,396,488,True,False,True
86,87,79500000,190000,26,185,73,1.0,4,4,4,79.0,79.0,82.0,85.0,77.0,77.0,73,78,61,87,65,84,77,70,84,88,83,75,82,85,79,85,77,92,69,83,80,80,86,84,59,84,78,80,72,2.1726027397260275,5.0,0,396,537,True,False,True
83,86,49500000,110000,24,186,74,1.0,4,4,3,79.0,82.0,84.0,82.0,67.0,76.0,83,79,65,85,81,83,87,83,83,84,76,81,78,83,68,89,76,89,69,79,75,67,83,83,83,82,65,72,63,2.219178082191781,3.0,0,48,537,True,False,True
89,89,104000000,200000,28,176,68,1.0,4,4,4,91.0,84.0,85.0,87.0,53.0,75.0,86,87,74,85,72,88,85,79,80,88,90,91,88,87,79,83,82,91,65,82,77,56,89,87,78,85,49,54,38,3.1890410958904107,3.0,0,642,488,False,False,True
88,90,118500000,230000,23,178,65,1.0,4,3,4,84.0,82.0,85.0,88.0,60.0,73.0,90,84,49,85,79,89,88,74,77,88,87,81,85,88,88,79,72,86,68,81,68,62,86,86,87,82,60,62,60,7.019178082191781,2.0,0,1329,537,False,False,False
84,84,40500000,70000,30,192,95,1.0,5,4,3,62.0,80.0,81.0,81.0,78.0,88.0,71,81,86,82,74,84,81,83,86,87,60,64,58,80,62,82,88,92,90,80,79,76,83,84,64,84,77,76,80,2.191780821917808,1.0,0,104,888,True,False,True
89,93,149500000,170000,22,174,60,1.0,4,4,4,77.0,73.0,85.0,91.0,78.0,77.0,76,77,50,90,56,91,79,62,88,91,79,76,89,87,92,68,72,90,73,76,72,87,86,91,53,90,74,85,79,5.1287671232876715,5.0,0,930,488,True,False,True
86,87,77500000,190000,27,182,74,1.0,2,3,4,66.0,75.0,84.0,84.0,79.0,81.0,76,73,66,88,65,86,83,63,88,86,66,66,73,85,79,76,75,90,76,82,86,82,77,86,65,88,78,82,81,3.6356164383561644,3.0,0,642,537,True,False,True
90,90,122500000,220000,28,178,67,1.0,5,5,5,91.0,88.0,83.0,93.0,50.0,69.0,80,90,74,89,79,94,85,68,78,94,93,89,94,91,81,91,84,76,69,85,58,45,95,84,80,88,49,49,39,2.106849315068493,3.0,0,833,431,False,False,False
85,90,79500000,90000,20,174,66,1.0,4,3,3,74.0,71.0,80.0,84.0,82.0,83.0,67,69,72,86,75,83,74,53,86,86,77,71,84,83,86,78,83,92,78,68,84,84,77,84,60,85,83,83,80,1.1232876712328768,4.0,0,315,431,True,False,True
85,88,66500000,125000,23,190,77,1.0,4,4,3,76.0,76.0,81.0,85.0,81.0,81.0,74,78,67,86,71,88,76,70,82,87,76,76,76,84,70,79,81,85,80,76,76,88,75,81,58,88,80,82,78,2.052054794520548,3.0,0,396,537,True,False,True
88,88,99000000,79000,27,174,72,1.0,4,4,5,81.0,88.0,75.0,84.0,51.0,83.0,68,93,86,78,92,81,84,65,72,84,83,80,88,92,87,87,91,86,80,80,87,48,93,79,74,88,45,50,45,7.2164383561643834,4.0,0,954,607,True,False,False
83,83,11500000,37000,36,177,75,1.0,5,4,3,77.0,78.0,82.0,83.0,72.0,75.0,76,78,68,85,79,82,83,69,82,86,79,75,81,83,80,81,77,84,67,76,82,75,83,84,72,85,71,74,70,3.221917808219178,1.0,0,9,607,True,False,True
87,87,36500000,175000,34,181,75,1.0,5,4,4,66.0,83.0,92.0,84.0,65.0,72.0,93,78,55,92,81,85,93,83,93,89,65,66,68,89,66,90,70,66,74,87,73,65,81,92,83,87,65,70,55,10.063013698630137,2.0,0,263,607,True,False,True
81,81,27500000,120000,27,183,77,1.0,2,3,3,70.0,79.0,83.0,78.0,75.0,75.0,79,76,72,85,72,76,74,80,84,83,71,70,69,82,69,82,79,83,71,84,72,78,80,84,85,81,76,74,72,1.0602739726027397,4.0,0,396,607,False,False,True
87,90,109000000,140000,24,183,70,1.0,5,5,3,86.0,80.0,83.0,88.0,58.0,78.0,79,81,62,87,64,89,86,74,78,88,85,86,86,84,84,78,87,83,76,86,73,58,87,85,70,84,53,62,52,0.6712328767123288,4.0,0,31,431,True,False,False
84,84,41500000,110000,29,171,68,1.0,2,4,3,72.0,73.0,87.0,85.0,74.0,67.0,91,67,62,86,63,84,89,89,86,86,76,68,84,85,86,84,68,91,54,83,69,79,78,85,54,83,76,75,69,2.221917808219178,2.0,0,930,762,False,False,True
81,84,31500000,115000,25,180,91,1.0,4,3,3,76.0,71.0,82.0,77.0,81.0,81.0,88,67,75,81,67,78,83,81,80,79,75,76,66,80,71,85,87,67,86,70,83,80,74,78,65,82,82,82,80,8.558904109589042,3.0,0,1329,537,True,True,False
81,81,20500000,125000,32,184,84,1.0,2,3,3,82.0,76.0,81.0,80.0,70.0,77.0,87,71,59,80,75,81,85,80,79,81,79,84,76,77,78,85,78,78,77,78,76,69,78,78,66,82,70,74,72,3.106849315068493,1.0,0,104,607,False,False,True
81,85,35500000,70000,25,182,77,1.0,4,3,3,75.0,76.0,80.0,78.0,79.0,84.0,75,74,66,83,70,78,73,73,81,80,72,77,73,82,72,81,79,93,78,77,87,80,82,80,63,81,79,81,79,1.0794520547945206,4.0,0,1329,488,True,False,True
83,83,35500000,160000,29,189,83,1.0,3,3,3,63.0,79.0,80.0,80.0,81.0,80.0,77,80,87,84,58,82,80,69,80,84,64,63,63,84,63,85,85,82,78,76,83,83,81,80,70,81,78,82,76,1.063013698630137,3.0,0,930,537,False,False,True
84,87,57000000,140000,24,178,76,1.0,4,3,3,68.0,75.0,85.0,81.0,73.0,75.0,79,72,71,88,77,80,84,76,89,85,68,68,75,86,78,82,74,85,67,76,83,74,78,86,73,82,72,75,72,2.6356164383561644,7.0,0,954,537,True,False,True
80,80,16500000,60000,32,169,62,1.0,4,4,3,77.0,71.0,78.0,82.0,76.0,75.0,75,67,56,80,68,80,79,74,78,81,79,75,89,84,88,79,73,83,68,74,85,82,79,79,64,76,75,80,74,2.1041095890410957,2.0,0,642,419,False,False,True
82,82,14500000,185000,33,180,78,1.0,4,3,3,68.0,71.0,82.0,79.0,82.0,75.0,83,62,75,86,67,77,76,85,80,83,64,72,71,83,77,82,79,72,77,78,73,83,71,78,79,84,84,83,80,4.221917808219178,1.0,0,230,488,False,True,False
80,82,23000000,25000,27,175,70,1.0,3,3,3,76.0,72.0,80.0,83.0,76.0,74.0,78,67,62,84,64,83,79,75,82,82,79,73,86,80,84,82,76,78,69,74,83,76,71,77,72,83,75,81,76,6.131506849315069,2.0,0,60,56,False,False,True
80,83,28000000,55000,25,186,80,1.0,3,4,3,93.0,77.0,72.0,79.0,69.0,90.0,71,76,70,75,77,77,71,50,69,79,92,93,85,80,81,86,92,93,90,74,86,67,81,78,58,72,71,68,64,4.2,3.0,0,227,419,True,False,True
82,85,37000000,105000,25,173,69,1.0,3,3,3,78.0,73.0,81.0,80.0,77.0,76.0,87,68,69,80,64,80,85,78,78,81,78,78,80,80,71,84,77,91,68,75,75,78,76,80,66,79,76,79,77,2.221917808219178,3.0,0,930,537,True,True,False
91,94,173500000,610000,26,182,75,1.0,4,5,5,97.0,90.0,81.0,92.0,37.0,76.0,78,92,78,87,87,92,80,69,74,93,97,97,93,91,82,91,90,83,77,86,61,38,91,83,82,88,26,34,32,1.2191780821917808,4.0,0,833,488,True,False,False
87,89,98000000,220000,26,178,68,1.0,2,5,4,68.0,79.0,88.0,87.0,67.0,65.0,86,79,55,90,79,87,84,82,88,88,68,68,85,88,83,82,63,88,55,80,64,69,78,90,68,87,68,72,57,4.0849315068493155,3.0,0,387,537,False,False,True
82,82,29500000,54000,30,171,67,1.0,3,4,3,78.0,71.0,82.0,85.0,70.0,75.0,79,71,65,83,69,86,80,72,82,85,81,76,85,84,83,73,76,86,65,68,87,66,80,85,72,81,69,76,65,0.0273972602739726,1.0,0,315,888,True,False,True
82,86,43500000,25000,24,175,72,1.0,5,3,3,72.0,80.0,84.0,80.0,70.0,79.0,81,78,41,84,72,78,82,82,85,83,75,69,79,80,77,83,67,88,75,85,82,74,80,85,81,81,73,74,69,1.210958904109589,1.0,1,227,419,True,False,True
78,78,7500000,22000,33,172,69,1.0,3,3,3,76.0,69.0,77.0,81.0,71.0,80.0,84,63,75,75,66,81,85,74,72,82,79,74,80,77,87,74,88,80,81,72,73,74,80,78,75,77,65,74,73,1.082191780821918,2.0,0,954,855,False,True,False
85,85,54000000,150000,28,193,88,1.0,3,3,3,76.0,82.0,77.0,80.0,80.0,85.0,66,84,81,84,76,84,69,60,81,85,70,80,55,86,48,86,86,92,82,81,84,81,87,79,60,80,78,81,75,1.0547945205479452,4.0,0,241,607,True,False,True
89,89,87000000,155000,31,188,86,1.0,4,3,5,64.0,92.0,83.0,82.0,48.0,82.0,80,93,90,86,89,80,82,69,79,87,62,66,67,94,72,91,87,76,86,89,80,42,94,86,93,92,46,44,38,2.106849315068493,2.0,0,1329,762,True,False,False
83,90,73500000,175000,22,185,77,1.0,3,4,3,80.0,68.0,81.0,84.0,78.0,80.0,77,64,64,86,59,84,74,59,84,86,81,80,82,82,81,75,82,84,79,70,79,82,73,83,62,84,76,82,81,4.052054794520548,4.0,0,833,488,False,False,True
84,85,40500000,68000,28,180,83,1.0,4,3,3,57.0,75.0,87.0,77.0,77.0,76.0,85,66,57,88,82,74,84,81,88,84,58,57,64,85,73,86,68,80,74,83,76,79,62,87,84,88,81,79,79,2.221917808219178,1.0,0,315,888,True,False,True
82,86,40000000,50000,24,194,80,1.0,3,4,3,82.0,74.0,73.0,81.0,80.0,86.0,59,73,83,80,66,83,72,49,80,82,77,86,77,80,76,81,94,78,90,73,82,79,76,77,55,79,78,83,80,2.2164383561643834,3.0,0,996,762,True,False,True
81,82,27500000,38000,26,184,75,1.0,2,3,3,78.0,72.0,77.0,79.0,79.0,76.0,79,68,76,78,73,80,77,74,74,80,79,78,79,81,72,79,85,80,72,77,80,79,79,76,52,78,79,80,79,1.2191780821917808,3.0,0,642,607,False,True,False
81,81,25000000,120000,30,178,68,1.0,2,3,3,69.0,77.0,78.0,80.0,77.0,83.0,76,76,57,81,75,81,76,61,80,80,69,69,77,81,85,84,74,92,79,77,86,79,77,79,55,77,79,82,75,7.120547945205479,2.0,0,241,537,False,False,True
82,82,30000000,59000,29,175,73,1.0,4,3,3,84.0,77.0,79.0,84.0,65.0,69.0,81,79,73,80,70,84,82,80,73,83,85,84,87,79,88,78,79,80,59,72,76,65,82,77,72,83,65,65,61,4.967123287671233,2.0,0,930,488,True,False,True
82,82,21000000,60000,31,186,86,1.0,4,3,3,77.0,76.0,72.0,74.0,82.0,84.0,63,71,82,77,69,73,77,64,74,75,67,85,65,79,72,85,81,76,86,78,91,78,70,69,85,83,79,86,85,5.589041095890411,1.0,0,996,762,True,True,False
80,80,20500000,63000,29,186,77,1.0,4,3,3,75.0,77.0,80.0,80.0,73.0,73.0,74,76,74,84,74,78,74,79,80,84,76,74,79,79,72,79,81,77,70,76,74,69,77,83,80,78,73,74,72,8.224657534246575,1.0,0,558,607,True,False,True
83,83,38500000,32000,27,173,78,1.0,4,4,3,77.0,82.0,83.0,84.0,63.0,68.0,83,84,59,85,79,84,82,81,80,84,79,76,82,83,78,78,72,81,62,83,64,71,85,84,82,85,63,65,48,5.090410958904109,2.0,0,315,460,True,False,True
82,82,30500000,140000,28,186,81,1.0,3,3,3,74.0,73.0,77.0,81.0,82.0,90.0,73,75,82,84,60,83,62,38,79,83,69,78,68,85,66,84,90,89,90,63,91,84,79,80,61,83,79,84,77,6.164383561643835,3.0,0,642,537,True,False,True
86,89,86000000,110000,23,180,70,1.0,4,3,3,95.0,65.0,76.0,82.0,80.0,77.0,81,61,73,80,54,81,77,59,72,82,94,95,87,83,84,80,87,83,73,64,75,79,77,72,45,82,77,86,81,4.054794520547945,4.0,0,315,431,False,True,False
88,88,31000000,155000,36,185,81,1.0,4,4,5,74.0,89.0,79.0,85.0,44.0,84.0,76,92,87,84,86,84,79,84,70,88,73,74,77,89,83,89,91,76,89,82,81,49,90,81,90,87,35,42,19,3.175342465753425,1.0,0,263,488,True,False,False
81,85,36500000,105000,24,192,80,1.0,3,3,3,78.0,76.0,77.0,80.0,81.0,81.0,72,77,76,83,65,81,72,56,80,83,76,80,75,79,65,79,87,81,79,75,84,81,78,78,60,82,80,84,75,1.1972602739726028,4.0,0,833,607,True,False,True
81,81,8500000,25000,36,186,80,1.0,5,4,3,75.0,80.0,81.0,79.0,69.0,75.0,84,78,77,82,85,78,82,75,77,83,74,76,73,80,70,85,84,76,75,79,69,69,84,79,77,84,68,69,65,1.0027397260273974,2.0,0,147,456,True,False,False
85,86,64500000,135000,25,171,75,1.0,2,4,3,88.0,84.0,79.0,84.0,49.0,76.0,84,87,63,80,85,83,84,72,69,84,90,87,90,81,85,83,81,85,71,77,74,52,84,80,85,83,53,41,37,0.1643835616438356,5.0,0,76,537,False,False,False
85,85,54000000,170000,28,176,72,1.0,4,4,3,54.0,79.0,85.0,80.0,75.0,72.0,80,77,70,87,83,79,84,78,88,86,51,57,62,85,77,85,68,87,69,76,64,75,77,87,75,88,74,77,80,2.221917808219178,2.0,0,263,537,True,False,True
77,77,5500000,52000,33,182,75,1.0,2,3,1,80.0,71.0,78.0,75.0,69.0,79.0,82,64,66,76,76,73,82,84,78,75,77,83,75,74,83,78,81,88,78,72,69,71,75,77,85,76,67,71,69,10.175342465753424,2.0,0,1329,297,True,True,False
88,92,133500000,110000,22,184,72,1.0,4,5,4,80.0,82.0,80.0,90.0,66.0,65.0,70,86,75,87,75,94,75,59,79,85,85,75,94,89,93,80,80,73,61,82,59,65,88,84,61,83,64,66,61,5.298630136986302,5.0,0,996,762,True,False,True
84,85,45500000,155000,26,174,66,1.0,3,3,3,75.0,64.0,79.0,80.0,82.0,79.0,81,61,72,82,55,78,79,63,79,80,77,74,82,84,83,73,86,89,70,63,85,82,76,77,57,79,83,84,82,3.126027397260274,3.0,0,930,537,False,True,False
83,83,31000000,73000,29,166,60,1.0,3,3,3,76.0,72.0,78.0,79.0,81.0,79.0,72,71,62,83,68,76,70,72,79,81,80,73,82,84,83,80,76,92,69,74,88,83,76,79,48,84,84,82,81,3.117808219178082,3.0,0,227,419,True,False,True
79,79,12500000,55000,31,184,85,1.0,4,3,2,79.0,67.0,75.0,76.0,78.0,83.0,71,59,80,78,66,76,77,66,78,76,76,81,77,79,75,80,91,83,83,73,82,79,68,75,68,80,77,77,75,0.6191780821917808,1.0,0,10,419,True,False,True
83,83,11500000,47000,39,172,67,1.0,4,4,3,68.0,74.0,86.0,86.0,70.0,62.0,86,68,55,87,76,84,85,78,86,88,72,65,89,79,90,79,66,69,58,80,60,75,76,88,83,91,70,70,72,0.18356164383561643,1.0,0,147,607,True,False,True
80,81,20500000,49000,28,183,74,1.0,4,3,3,78.0,77.0,73.0,78.0,78.0,86.0,66,75,68,80,60,77,61,54,73,80,77,79,70,77,77,84,85,92,87,78,78,79,76,74,88,83,80,80,76,2.115068493150685,1.0,0,141,888,True,False,True
82,82,30000000,43000,29,177,68,1.0,3,4,3,68.0,81.0,82.0,84.0,68.0,71.0,81,82,62,82,73,85,82,81,82,85,67,68,79,80,80,83,71,67,69,83,82,70,81,84,65,82,64,73,68,1.0547945205479452,3.0,0,954,488,False,False,True
80,80,20500000,26000,29,179,71,1.0,3,3,2,74.0,71.0,78.0,80.0,77.0,82.0,76,71,68,80,59,78,72,63,79,82,73,75,80,83,80,74,80,92,78,68,80,78,79,79,66,82,78,78,75,3.073972602739726,4.0,0,387,460,True,False,True
83,86,47500000,125000,25,186,80,1.0,3,4,3,74.0,79.0,84.0,85.0,62.0,81.0,84,82,52,86,83,88,86,68,78,86,77,72,77,87,72,78,75,91,80,74,74,65,83,86,70,85,62,66,58,2.221917808219178,3.0,0,361,537,False,False,True
84,84,40500000,165000,30,173,65,1.0,3,4,3,61.0,78.0,83.0,89.0,71.0,65.0,82,78,54,86,78,88,84,67,82,88,68,55,93,87,92,79,58,90,47,79,78,73,80,85,64,86,70,76,68,8.224657534246575,1.0,0,315,537,False,False,True
89,93,150500000,190000,22,177,71,1.0,4,4,5,80.0,82.0,88.0,90.0,54.0,67.0,87,84,43,91,81,90,83,74,87,92,82,79,88,88,87,78,65,87,59,84,63,55,85,91,66,86,64,49,44,5.638356164383562,5.0,0,996,537,True,False,True
78,79,16500000,95000,26,180,86,1.0,3,3,2,77.0,71.0,77.0,77.0,80.0,80.0,78,68,86,78,77,78,77,63,77,78,75,78,68,77,69,76,91,81,77,73,82,78,78,76,61,78,78,82,75,4.221917808219178,1.0,0,359,607,True,False,True
80,80,20500000,55000,29,191,88,1.0,4,4,3,81.0,76.0,79.0,80.0,76.0,80.0,75,76,85,84,60,81,70,57,80,83,78,84,75,79,60,82,94,72,85,75,75,76,83,79,56,82,75,76,70,2.221917808219178,2.0,0,1329,607,True,False,True
81,81,21500000,43000,31,180,71,1.0,3,3,3,77.0,76.0,81.0,80.0,73.0,77.0,74,75,60,84,74,81,81,72,82,80,78,77,79,79,76,81,78,82,75,75,74,74,78,83,60,84,74,76,74,2.1095890410958904,3.0,0,930,488,True,False,True
81,81,24500000,30000,30,181,81,1.0,2,3,3,68.0,78.0,78.0,76.0,77.0,79.0,67,74,80,82,75,75,72,67,83,80,64,72,62,82,70,86,83,82,78,82,75,79,82,80,67,79,74,79,75,3.221917808219178,2.0,0,833,431,True,False,True
81,81,17000000,52000,32,181,72,1.0,4,3,3,63.0,73.0,78.0,79.0,78.0,80.0,73,68,70,81,65,77,79,74,80,82,62,64,79,75,84,80,73,93,72,83,85,79,65,79,69,82,75,83,81,2.2164383561643834,1.0,0,147,888,True,False,True
80,86,31000000,78000,24,183,72,1.0,4,2,1,76.0,73.0,80.0,79.0,75.0,75.0,85,70,65,78,68,78,78,73,79,80,78,75,79,77,78,78,76,87,67,74,79,75,75,81,78,82,76,76,75,7.2246575342465755,5.0,0,263,537,False,True,False
80,85,31500000,19000,24,179,71,1.0,3,3,1,77.0,78.0,76.0,80.0,74.0,83.0,67,75,65,82,65,79,72,58,78,81,86,69,81,82,82,85,87,79,85,83,80,78,78,78,60,79,74,76,70,3.147945205479452,1.0,0,396,456,True,False,True
79,79,11500000,61000,32,178,74,1.0,4,4,1,77.0,76.0,78.0,80.0,72.0,78.0,68,74,54,84,75,76,75,61,79,83,80,75,83,80,86,80,72,93,69,79,81,71,78,80,66,83,76,74,72,16.213698630136985,3.0,0,241,297,False,False,True
80,80,22500000,110000,27,175,66,1.0,2,3,3,67.0,75.0,82.0,80.0,75.0,70.0,81,70,62,81,77,79,80,80,81,84,69,66,74,77,78,79,70,75,65,82,77,76,76,84,81,84,76,78,72,1.210958904109589,1.0,1,642,537,True,False,True
83,83,30500000,65000,31,178,66,1.0,4,4,3,86.0,83.0,80.0,83.0,59.0,67.0,80,86,81,84,80,84,76,60,75,83,87,86,80,83,81,81,85,70,60,81,76,49,86,82,78,81,61,61,42,1.1013698630136985,3.0,0,930,488,True,False,False
84,87,53500000,74000,24,185,77,1.0,3,4,3,94.0,66.0,78.0,85.0,74.0,76.0,85,64,74,84,59,85,72,44,71,85,95,93,84,86,83,74,95,79,75,63,72,79,77,77,54,78,72,74,73,6.720547945205479,5.0,0,71,762,False,True,False
81,83,32000000,38000,25,178,74,1.0,4,3,3,82.0,77.0,78.0,82.0,73.0,72.0,67,79,71,84,71,82,71,65,79,83,84,80,78,83,75,76,81,80,64,74,79,74,85,83,64,81,70,77,72,1.2191780821917808,3.0,0,558,607,True,False,True
